yr,mnth,holiday,weekday,workingday,weathersit,temp,windspeed,cnt,season_2,season_3,season_4
0,1,0,6,0,2,0.344167,0.160446,985,False,False,False
0,1,0,0,0,2,0.363478,0.248539,801,False,False,False
0,1,0,1,1,1,0.196364,0.248309,1349,False,False,False
0,1,0,2,1,1,0.2,0.160296,1562,False,False,False
0,1,0,3,1,1,0.226957,0.1869,1600,False,False,False
0,1,0,4,1,1,0.204348,0.0895652,1606,False,False,False
0,1,0,5,1,2,0.196522,0.168726,1510,False,False,False
0,1,0,6,0,2,0.165,0.266804,959,False,False,False
0,1,0,0,0,1,0.138333,0.36195,822,False,False,False
0,1,0,1,1,1,0.150833,0.223267,1321,False,False,False
0,1,0,2,1,2,0.169091,0.122132,1263,False,False,False
0,1,0,3,1,1,0.172727,0.304627,1162,False,False,False
0,1,0,4,1,1,0.165,0.301,1406,False,False,False
0,1,0,5,1,1,0.16087,0.126548,1421,False,False,False
0,1,0,6,0,2,0.233333,0.157963,1248,False,False,False
0,1,0,0,0,1,0.231667,0.188433,1204,False,False,False
0,1,1,1,0,2,0.175833,0.194017,1000,False,False,False
0,1,0,2,1,2,0.216667,0.146775,683,False,False,False
0,1,0,3,1,2,0.292174,0.208317,1650,False,False,False
0,1,0,4,1,2,0.261667,0.195904,1927,False,False,False
0,1,0,5,1,1,0.1775,0.353242,1543,False,False,False
0,1,0,6,0,1,0.0591304,0.17197,981,False,False,False
0,1,0,0,0,1,0.0965217,0.2466,986,False,False,False
0,1,0,1,1,1,0.0973913,0.15833,1416,False,False,False
0,1,0,2,1,2,0.223478,0.129796,1985,False,False,False
0,1,0,3,1,3,0.2175,0.29385,506,False,False,False
0,1,0,4,1,1,0.195,0.113837,431,False,False,False
0,1,0,5,1,2,0.203478,0.1233,1167,False,False,False
0,1,0,6,0,1,0.196522,0.145365,1098,False,False,False
0,1,0,0,0,1,0.216522,0.0739826,1096,False,False,False
0,1,0,1,1,2,0.180833,0.187192,1501,False,False,False
0,2,0,2,1,2,0.192174,0.053213,1360,False,False,False
0,2,0,3,1,2,0.26,0.264308,1526,False,False,False
0,2,0,4,1,1,0.186957,0.277752,1550,False,False,False
0,2,0,5,1,2,0.211304,0.127839,1708,False,False,False
0,2,0,6,0,2,0.233333,0.161079,1005,False,False,False
0,2,0,0,0,1,0.285833,0.1418,1623,False,False,False
0,2,0,1,1,1,0.271667,0.0454083,1712,False,False,False
0,2,0,2,1,1,0.220833,0.36195,1530,False,False,False
0,2,0,3,1,2,0.134783,0.188839,1605,False,False,False
0,2,0,4,1,1,0.144348,0.221935,1538,False,False,False
0,2,0,5,1,1,0.189091,0.10855,1746,False,False,False
0,2,0,6,0,1,0.2225,0.203367,1472,False,False,False
0,2,0,0,0,1,0.316522,0.260883,1589,False,False,False
0,2,0,1,1,1,0.415,0.417908,1913,False,False,False
0,2,0,2,1,1,0.266087,0.291374,1815,False,False,False
0,2,0,3,1,1,0.318261,0.251791,2115,False,False,False
0,2,0,4,1,1,0.435833,0.230104,2475,False,False,False
0,2,0,5,1,1,0.521667,0.264925,2927,False,False,False
0,2,0,6,0,1,0.399167,0.507463,1635,False,False,False
0,2,0,0,0,1,0.285217,0.223235,1812,False,False,False
0,2,1,1,0,2,0.303333,0.307846,1107,False,False,False
0,2,0,2,1,1,0.182222,0.195683,1450,False,False,False
0,2,0,3,1,1,0.221739,0.094113,1917,False,False,False
0,2,0,4,1,2,0.295652,0.250496,1807,False,False,False
0,2,0,5,1,2,0.364348,0.346539,1461,False,False,False
0,2,0,6,0,1,0.2825,0.186571,1969,False,False,False
0,2,0,0,0,1,0.343478,0.125248,2402,False,False,False
0,2,0,1,1,2,0.407273,0.289686,1446,False,False,False
0,3,0,2,1,1,0.266667,0.216425,1851,False,False,False
0,3,0,3,1,1,0.335,0.307833,2134,False,False,False
0,3,0,4,1,1,0.198333,0.225754,1685,False,False,False
0,3,0,5,1,2,0.261667,0.203346,1944,False,False,False
0,3,0,6,0,2,0.384167,0.251871,2077,False,False,False
0,3,0,0,0,2,0.376522,0.343287,605,False,False,False
0,3,0,1,1,1,0.261739,0.341352,1872,False,False,False
0,3,0,2,1,1,0.2925,0.12065,2133,False,False,False
0,3,0,3,1,2,0.295833,0.22015,1891,False,False,False
0,3,0,4,1,3,0.389091,0.261877,623,False,False,False
0,3,0,5,1,2,0.316522,0.23297,1977,False,False,False
0,3,0,6,0,1,0.329167,0.220775,2132,False,False,False
0,3,0,0,0,1,0.384348,0.270604,2417,False,False,False
0,3,0,1,1,1,0.325217,0.136926,2046,False,False,False
0,3,0,2,1,2,0.317391,0.184309,2056,False,False,False
0,3,0,3,1,2,0.365217,0.203117,2192,False,False,False
0,3,0,4,1,1,0.415,0.209579,2744,False,False,False
0,3,0,5,1,1,0.54,0.231017,3239,False,False,False
0,3,0,6,0,1,0.4725,0.368167,3117,False,False,False
0,3,0,0,0,1,0.3325,0.207721,2471,False,False,False
0,3,0,1,1,2,0.430435,0.288783,2077,True,False,False
0,3,0,2,1,1,0.441667,0.22575,2703,True,False,False
0,3,0,3,1,2,0.346957,0.234261,2121,True,False,False
