Actual_cnt,decision_tree(CV)_pred,decision_tree_pred,elastic_net_model(CV)_pred,elastic_net_model_pred,gradient_boost(CV)_pred,gradient_boost_pred,lasso_model(CV)_pred,lasso_model_pred,randomforest_pred,random_forest(CV)_pred,random_forest_pred,ridge_model(CV)_pred,ridge_model_pred
985,33.391615714128,1115.0,-438.21079429450873,-5141.796259812263,32.236141588543894,644.7048205629355,-490.81844274321634,-75161.09529269414,45.653862355765014,47.87919893884426,2357.38,-490.81844274321634,-5138.548395663812
801,33.391615714128,1115.0,-354.2537259214489,-4852.2939400185105,33.00592924752946,743.32085296406,-398.9428884069442,-71382.84773761354,46.76535416095831,47.907556476208846,2505.785,-398.9428884069442,-4849.767075061873
1349,33.391615714128,3606.0,-305.7357657684384,-4082.2661072731585,33.89703476595658,1491.8403363666284,-339.1275279960369,-66700.46047436632,46.933516353886105,48.23956567315263,2645.615,-339.1275279960369,-4080.125312539527
1562,33.391615714128,3606.0,-405.2920245704069,-4542.18739709786,33.843816878461034,1618.693858000395,-449.05683814850056,-72637.8554640475,47.34420621423334,48.365845422886146,2650.145,-449.05683814850056,-4539.233213361217
1600,33.391615714128,3606.0,-225.05900393557036,-3312.876432383506,33.244453058022074,1618.693858000395,-254.46923939461794,-49337.134129003585,47.09351035979597,48.08142085598519,2638.245,-254.46923939461794,-3311.1594145352647
1606,33.391615714128,3606.0,-279.5560908820209,-3321.6511877680837,34.036900719079995,1618.693858000395,-314.39067292829753,-48482.68598249699,47.1780341759282,48.11205338013407,2667.385,-314.39067292829753,-3319.4004888454806
1510,33.391615714128,1115.0,-321.0535205692975,-3901.289221048932,33.13436042096873,1524.4796546262073,-357.1517362558876,-61772.60501180265,46.87669375480892,48.364101802075126,2630.25,-357.1517362558876,-3898.9173464469527
959,33.391615714128,1115.0,-464.2474438511033,-5290.276652977899,32.236141588543894,644.7048205629355,-508.85151780081526,-91123.13168233592,45.653862355765014,47.87919893884426,2357.38,-508.85151780081526,-5287.014794909089
822,33.391615714128,3606.0,-452.78846076202257,-5489.94738559513,33.22639694077839,908.7670959715086,-493.62294701483233,-98647.42320211217,46.817185313893454,48.005353404555684,2508.5,-493.62294701483233,-5486.916492854665
1321,33.391615714128,3606.0,-399.40757360478574,-4600.931415713596,33.89703476595658,1491.8403363666284,-439.0932400732205,-78177.60022092437,46.933516353886105,48.23956567315263,2645.615,-439.0932400732205,-4598.124147080241
1263,33.391615714128,1115.0,-526.104243376417,-5241.774485824882,33.9263166613147,1453.2476149929464,-579.0643624250931,-86653.47207566208,47.188290034365025,48.332999515719294,2631.75,-579.0643624250931,-5237.9729756068955
1162,33.391615714128,3606.0,-541.7412222090785,-6061.445369843867,33.244453058022074,1618.693858000395,-592.8571592982131,-105195.26145327186,47.09351035979597,48.08142085598519,2638.245,-592.8571592982131,-6057.839427050883
1406,33.391615714128,3606.0,-414.42746911064825,-5047.298976292767,34.036900719079995,1618.693858000395,-454.5455081762587,-87252.45618597213,47.1780341759282,48.11205338013407,2667.385,-454.5455081762587,-5044.520036653947
1421,33.391615714128,3606.0,-381.39711930168784,-4140.400603070495,33.051860638115066,1689.9258976336555,-422.0771662621617,-66724.39354290823,47.019919730487175,48.46189873042197,2656.43,-422.0771662621617,-4137.535169437081
1248,33.391615714128,1115.0,-265.29934468482384,-3519.975750838887,32.236141588543894,644.7048205629355,-298.5058585479281,-52346.34893277078,45.653862355765014,47.87919893884426,2357.38,-298.5058585479281,-3517.845349888719
1204,33.391615714128,3606.0,-270.3951526402795,-3671.053105764757,33.22639694077839,908.7670959715086,-303.6363349698486,-55912.34231340479,46.817185313893454,48.005353404555684,2508.5,-303.6363349698486,-3668.9366676305563
1000,33.391615714128,1115.0,-410.87992959898145,-4614.014183530657,34.19368843536643,641.7711458967824,-453.01551566926054,-76925.06770774559,46.769151109927904,47.8201851470229,2558.975,-453.01551566926054,-4612.340124420965
