instant,yr,holiday,workingday,atemp,hum,windspeed,cnt,Date,season_2,season_3,season_4,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weathersit_2,weathersit_3
1,0,0,0,0.363625,0.805833,0.160446,985,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,0,0.353739,0.696087,0.248539,801,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3,0,0,1,0.189405,0.437273,0.248309,1349,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4,0,0,1,0.212122,0.590435,0.160296,1562,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5,0,0,1,0.22927,0.436957,0.1869,1600,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
6,0,0,1,0.233209,0.518261,0.0895652,1606,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
7,0,0,1,0.208839,0.498696,0.168726,1510,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
8,0,0,0,0.162254,0.535833,0.266804,959,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
9,0,0,0,0.116175,0.434167,0.36195,822,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,0,0,1,0.150888,0.482917,0.223267,1321,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
11,0,0,1,0.191464,0.686364,0.122132,1263,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
12,0,0,1,0.160473,0.599545,0.304627,1162,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
13,0,0,1,0.150883,0.470417,0.301,1406,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
14,0,0,1,0.188413,0.537826,0.126548,1421,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
15,0,0,0,0.248112,0.49875,0.157963,1248,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
16,0,0,0,0.234217,0.48375,0.188433,1204,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,0,1,0,0.176771,0.5375,0.194017,1000,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
18,0,0,1,0.232333,0.861667,0.146775,683,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
19,0,0,1,0.298422,0.741739,0.208317,1650,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
20,0,0,1,0.25505,0.538333,0.195904,1927,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
21,0,0,1,0.157833,0.457083,0.353242,1543,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
22,0,0,0,0.0790696,0.4,0.17197,981,22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
23,0,0,0,0.0988391,0.436522,0.2466,986,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,0,0,1,0.11793,0.491739,0.15833,1416,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
25,0,0,1,0.234526,0.616957,0.129796,1985,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
26,0,0,1,0.2036,0.8625,0.29385,506,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
27,0,0,1,0.2197,0.6875,0.113837,431,27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
28,0,0,1,0.223317,0.793043,0.1233,1167,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
29,0,0,0,0.212126,0.651739,0.145365,1098,29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
30,0,0,0,0.250322,0.722174,0.0739826,1096,30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,0,0,1,0.18625,0.60375,0.187192,1501,31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
